"Qty";"Value";"Device";"Package";"Parts";"Description";"AUTOMOTIVE";"AVAILABILITY";"BUILT_BY";"CAPACITANCE";"CENTROID_NOT_SPECIFIED";"CHANNEL_POLARITY";"CIIVA_IDS";"CISS_TYP_PF";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"CONFIGURATION";"CONTACT-RESISTANCE";"CONTINUOUS_DRAIN_CURRENT";"COSS_TYP_PF";"CREATED_BY";"CRSS_TYP_PF";"DATASHEET";"DATASHEET-URL";"DATASHEET_VERSION";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGI-KEY_PART_NUMBER";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"DRAIN_TO_SOURCE_BREAKDOWN_VOLTAGE";"DRAIN_TO_SOURCE_RESISTANCE";"DRAIN_TO_SOURCE_VOLTAGE";"FOOTPRINT_PARAMETERS_1";"FOOTPRINT_PARAMETERS_2";"FOOTPRINT_PARAMETERS_3";"FOOTPRINT_URL";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"FOOTPRINT_VARIANT_NAME_3";"FORWARD_CURRENT";"GATE_TO_SOURCE_VOLTAGE";"GENDER";"HEIGHT";"ID_MAX_A";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"INPUT_CAPACITACE_AT_VDS";"IR";"L";"LEAD_FREE";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MAX_DUTY_CYCLE";"MAX_JUNCTION_TEMP";"MAX_SUPPLY_VOLTAGE";"MAX_SURGE_FORWARD_CURRENT";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_COMPONENT_ID";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MIN_SUPPLY_VOLTAGE";"MOUNT";"MOUNTING_TECHNOLOGY";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MP";"MPN";"NOMINAL_SUPPLY_CURRENT";"NUMBER_OF_CHANNELS";"NUMBER_OF_OUTPUTS";"NUMBER_OF_P_CHANNELS";"OUTPUT_CURRENT";"OUTPUT_TYPE";"OUTPUT_VOLTAGE";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_TYPE";"PACKAGE_VERSION";"PACKAGING";"PACKING";"PART-NUMBER";"PEAK_REVERSE_CURRENT";"PINS";"PITCH";"POPULARITY";"POWER_DISSIPATION";"PREFIX";"PRICE";"PURCHASE-URL";"RELEASE_DATE";"REVERSE_VOLTAGE";"ROHS";"SOURCELIBRARY";"STANDOFF_HEIGHT";"SWITCHING_FREQUENCY";"SWITCHING_TOPOLOGY";"TECHNOLOGY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"THRESHOLD_VGS";"TOL-R";"TURN_OFF_DELAY_TIME";"TURN_ON_DELAY_TIME";"TYPE";"VAULT_GUID";"VAULT_REVISION";"VBRDSS_MIN_V";"VENDOR";"VERIFICATION_VERSION";"VGSTH_MAX_V";"VGS_MAX_V";"WORKING-VOLTAGE";
"5";"0.1uF";"C-USC0805K";"C0805K";"C2, C3, C13, C14, C15";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10k";"R-US_R0805";"R0805";"R24, R25";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11";"10uF";"C-USC0805K";"C0805K";"C1, C4, C5, C6, C7, C8, C9, C10, C11, C12, C17";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11";"130k";"R-US_R0805";"R0805";"R11, R13, R14, R15, R16, R17, R19, R21, R28, R30, R31";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10";"150";"R-US_R0805";"R0805";"R1, R3, R4, R5, R6, R10, R12, R26, R27, R29";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"178k";"R-US_R0805";"R0805";"R18, R20";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1_SEGMENT_LCD_3350281_SEGMENT_LCD_335028_REV1";"1_SEGMENT_LCD_3350281_SEGMENT_LCD_335028_REV1";"DIP5030W60P254L3350H300Q20B";"LCD_1, LCD_2, LCD_3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.2k";"R-US_R0805";"R0805";"R23";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"3020-20-0300-00";"6120XX20621_61202020621";"61202020621";"J1";"WR-BHD 2.54 mm Male SMT Box Header";"";"";"";"";"";"";"";"";"";"";"";"";"";"20mOhm";"";"";"";"";"";"https://katalog.we-online.com/em/datasheet/61202020621.pdf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Male";"";"";"";"";"";"";"3A";"33.2mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"SMT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tube";"";" 61202020621 ";"";" 20 ";"2.54mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"max.";"";"";"Straight";"";"";"";"";"";"";"";"250V(AC)";
"1";"330";"R-US_R0805";"R0805";"R22";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
